time_sec,queue_density,dynamic_density
272.4,0.829082,0.0575499
272.733,0.830915,0.0719073
273.067,0.830472,0.0920465
273.4,0.830041,0.0915806
273.733,0.830926,0.0886933
274.067,0.830947,0.0211588
274.4,0.830469,0.0387643
274.733,0.829545,0.0732468
275.067,0.828806,0.17922
275.4,0.828075,0.174197
275.733,0.826148,0.21413
276.067,0.82542,0.231816
276.4,0.822826,0.247789
276.733,0.821556,0.253708
277.067,0.820528,0.269321
277.4,0.820777,0.269856
277.733,0.821471,0.274963
278.067,0.822749,0.155727
278.4,0.821644,0.177374
278.733,0.825428,0.216859
279.067,0.833853,0.211059
279.4,0.835103,0.204433
279.733,0.835793,0.173961
280.067,0.832916,0.247282
280.4,0.835101,0.569734
280.733,0.838034,0.546137
281.067,0.838646,0.60427
281.4,0.849191,0.625622
281.733,0.854871,0.613337
282.067,0.867045,0.606964
282.4,0.87106,0.608483
282.733,0.861391,0.587011
283.067,0.848283,0.508331
283.4,0.827007,0.593441
283.733,0.803974,0.627055
284.067,0.805537,0.592053
284.4,0.817827,0.516037
284.733,0.833233,0.61274
285.067,0.844383,0.589277
285.4,0.848643,0.572672
285.733,0.844112,0.657706
286.067,0.78953,0.691384
286.4,0.78282,0.646675
286.733,0.776638,0.673671
287.067,0.773176,0.766788
287.4,0.775752,0.74942
287.733,0.738215,0.735929
288.067,0.696088,0.704322
288.4,0.664316,0.727197
288.733,0.655154,0.63671
289.067,0.652486,0.429983
289.4,0.657952,0.710231
289.733,0.665076,0.722017
290.067,0.661944,0.732494
290.4,0.647602,0.733354
290.733,0.639904,0.696713
291.067,0.630672,0.657405
291.4,0.626108,0.609758
291.733,0.620218,0.625387
292.067,0.622655,0.49888
292.4,0.616475,0.553065
292.733,0.591487,0.59593
293.067,0.561011,0.602016
293.4,0.536135,0.535639
293.733,0.51985,0.523641
294.067,0.521939,0.602641
294.4,0.552607,0.5642
294.733,0.567079,0.631383
295.067,0.549855,0.644781
295.4,0.526668,0.630025
295.733,0.509081,0.468506
296.067,0.513626,0.578588
296.4,0.536368,0.611597
296.733,0.539545,0.645254
297.067,0.531286,0.624908
297.4,0.539487,0.608361
297.733,0.561305,0.540041
298.067,0.570611,0.571269
298.4,0.548279,0.367307
298.733,0.515744,0.501686
299.067,0.493684,0.581842
299.4,0.497465,0.567996
299.733,0.535827,0.565002
300.067,0.578824,0.448681
300.4,0.647706,0.519942
300.733,0.701725,0.645082
301.067,0.740744,0.610987
301.4,0.776266,0.539741
301.733,0.830944,0.562259
302.067,0.851323,0.599311
302.4,0.846433,0.604608
302.733,0.825533,0.547113
303.067,0.821721,0.575675
303.4,0.814828,0.632368
303.733,0.728889,0.620819
304.067,0.643322,0.661812
304.4,0.596293,0.417614
304.733,0.600763,0.578737
305.067,0.581881,0.652182
305.4,0.563452,0.33203
305.733,0.551875,0.62589
306.067,0.589105,0.609209
306.4,0.587099,0.536914
306.733,0.584794,0.548964
307.067,0.570813,0.470395
307.4,0.549222,0.458212
307.733,0.529447,0.531437
308.067,0.452525,0.465583
